name,address,hours
Cafe «Sofiya»,"ул. Шайхонтохур, Яшнабадский район",11:00-02:00
Cafe de Flore,"просп. Мустакиллик, 88А, Мирзо-Улугбекский район",
Cafe HUMO,"ул. Кушбеги, 1Б, Яккасарайский район",10:00-23:00
Cafe LaVanda,"ул. Абдулла Кодирий, 24, Шайхантахурский район",11:00-23:00
Cafe Ostrovok,"ул. Фаргона Йули, 786Б, Мирабадский район",09:00-23:00
Cafe Petit,"ул. Бабура, 17, Яккасарайский район",09:00-11:00
Cafe Pottermania,"ул. Шахрисбз, 27/6, Яккасарайский район",11:00-23:00
Cafe U-Smile,"ул. Саида Барака, 16Б, Мирабадский район",
Caffe il Migliore,"ул. Хуршида, 57 (Ц5), Юнусабадский район",12:00-23:00
Caffee'issimo,"просп. Амира Темура, 95А, Юнусабадский район",11:00-23:00
Caffeine,"ул. Кораташ, 5А, Шайхантахурский район",10:00-23:00
Caffelito Coffee,"ул. Ахмада Дониша, 2-Б, Шайхантахурский район",09:00-18:00
Caffelito Coffee,"ул. Урикзор, Яккасарайский район",
Caffelito Coffee,"площадь Хамида Алимджана, Мирзо-Улугбекский район",
Cake bake,"Чиланзар-8, ул. Катартал, 20/26, Чиланзарский район",08:00-22:00
Cake bake,"ул. Беруни, 85, Олмазорский район",08:00-22:00
Cake Lab,"массив Джангох, 9, Шайхантахурский район",
Cake Lab,"ул. Фараби, 2, Олмазорский район",
Cake Lab,"просп. Мирзо Улугбека, 51А, Мирзо-Улугбекский район",08:00-21:00
Cake Lab,"ул. Шахрисабз, 27/9, Мирабадский район",08:00-21:00
Cake Lab,"ул. Бабура, 40А, Яккасарайский район",08:00-21:00
Cake Lab,"ул. Шастри, 15, Мирзо-Улугбекский район",08:00-21:00
Cake Lab,"пересечение ул. Нурафшон и ул. Себзар, Олмазорский район",08:00-21:00
Caldo,"ул. Аккурган, 31, Мирзо-Улугбекский район",
Canella Coffee & Patisserie,"Чиланзар-Ц, ул. Катартал, 28, Чиланзарский район",
Canella Coffee & Patisserie,"ул. Мирабад, 12, кв. 181, Мирабадский район",08:00-22:00
Canteen loft,"ул. Истикбол, 14, Мирабадский район",08:00-23:00
Caprice,"Чиланзар-8, Чиланзарский район",
Caramel Piknik,"ул. Буюк Ипак Йули, 62А, Мирзо-Улугбекский район",07:00-23:00
Caravan,"ул. Абдуллы Каххара, 22, Яккасарайский район",12:00-00:00
Cari Cake,"ул. Узбекистон овози, 2, Мирабадский район",08:00-23:00
Chopar Pizza ТРЦ Мега Planet,"ул. Ахмада Дониша, 2Б, Юнусабадский район",10:00-23:00
Chopar ТРЦ Atlas - Сайрам,"Юнусабад-19, махалля Увайсий, Юнусабадский район",10:00-23:00
Chopar ТРЦ Compass,"ул. ТКАД, Фаргона йули, 17, Бектемирский район",10:00-23:00
Chopar ТРЦ Parus,"ул. Катартал, 60, Чиланзарский район",10:00-03:00
Chopar ТРЦ Samarqand Darvoza,"ул. Кораташ, 5А, Шайхантахурский район",10:00-23:00
Chopar ТРЦ Нукус,"ул. Кичик Халка Йули, 19, Олмазорский район",10:00-03:00
