name,address,hours
Китай,"ул. Туркистон, 2А, Мирабадский район",11:00-22:00
Киш-миш,"ул. Эргашева, 124, Мирзо-Улугбекский район",09:00-23:00
Комнаты,"ул. Шахрисабз, 23, Мирабадский район",
Кондитер-ка,"ул. Истикбол, Мирабадский район",
Кондитерский дом Safia №1,"ул. Буюк Ипак Йули, 250, Мирзо-Улугбекский район",09:00-23:00
Кондитерский дом Safia №10,"ул. Авиасозлар, 29, Яшнабадский район",08:00-23:00
Кондитерский дом Safia №11,"ул. Самарканд Дарвоза, 1, Шайхантахурский район",08:00-23:00
Кондитерский дом Safia №12,"ул. Кукча дарвоза, 38, Учтепинский район",08:00-23:00
Кондитерский дом Safia №13,"ул. Бирлик, 18А, Сергелийский район",08:00-23:00
Кондитерский дом Safia №14,"ул. Фараби, 212, Олмазорский район",
Кондитерский дом Safia №2,"ул. Осиё, 4, Юнусабадский район",08:00-23:00
Кондитерский дом Safia №3,"площадь Хамида Алимджана, западная сторона, Мирзо-Улугбекский район",08:00-23:00
Кондитерский дом Safia №4,"массив Кашгар, 5А, Юнусабадский район",08:00-23:00
Кондитерский дом Safia №5,"Юнусабад-11, 2Б, Юнусабадский район",08:00-23:00
Кондитерский дом Safia №7,"ул. Имама ат-Термези, 54, Яккасарайский район",08:00-23:00
Кондитерский дом Safia №8,"Куйлюк ТКАД, 17, Бектемирский район",09:00-22:00
Кондитерский дом Safia №9,"ул. Катартал, 60, Чиланзарский район",08:00-23:00
Корица,"ул. Карамурт, 4А, Мирзо-Улугбекский район",
Кофейня в ресторане Caravan,"ул. Абдуллы Каххара, 22, Яккасарайский район",07:00-00:00
Кофейня-ресторан «Шекспир»,"просп. Ислама Каримова, 8, Чиланзарский район",12:00-03:00
Кролик Робби,"Тузель, ориентир Пожарка, Яшнабадский район",
Культ-кафе Факультет,"ул. Алмазар, 167, Чиланзарский район",10:00-00:00
Куранты Бар,"просп. Амира Темура, Мирабадский район",13:00-02:00
Кымган,"ул. Мироншох, 22, Мирабадский район",
Летний сад,"ул. Паркент, 38, Яшнабадский район",09:00-23:00
Лоза,"Лабзак, Шайхантахурский район",12:00-23:00
Лорд,"Спутник, 7, Сергелийский район",
Магнолия,"Учтепа-25, Учтепинский район",11:00-23:00
Мангал,"ул. Кары Ниязова, 11, Мирзо-Улугбекский район",12:00-23:00
Мару,"ул. Тараккиет, 1, Яшнабадский район",10:30-22:00
Матадор,"ул. Мирабад, 46А, Мирабадский район",12:00-23:00
Монте-Кристо,"Юнусабад-8, ул. Кулоктепа, Юнусабадский район",12:00-00:00
Москва,"просп. Шарафа Рашидова, 77, Яккасарайский район",11:00-23:00
Московская Пицца,"ул. Урикзор, 140, кв. 1, Яккасарайский район",11:00-23:00
Московская Пицца,"ул. Юсуфа Х. Хожиба, 34, Яккасарайский район",
Московская пицца,"ул. Нурафшон, 7, Олмазорский район",11:00-23:00
Мохи-Хосса,"ул. Арносой, /1, Чиланзарский район",
Моя семья,"ул. Лутфкор, Сергелийский район",12:00-23:00
Мята Lounge Novza,"ул. Мукими, 20Б, Чиланзарский район",
Мята Амир Темур,"просп. Амира Темура, 60, Юнусабадский район",12:00-02:00
НАТ&КО,"ул. Боткина, 116, Яшнабадский район",08:00-21:00
Номер 1 lounge bar,"ул. Осие, 89А, Юнусабадский район",
Огни Ташкента,"ул. Бухара, 24, Яккасарайский район",08:00-23:00
Орфей,"ул. Пушкина, 65, Мирзо-Улугбекский район",
Охотничий домик,"просп. Амира Темура, 112, Юнусабадский район",10:00-
Пастернак,"ул. Ойбека, 52, Мирабадский район",11:00-23:00
Пекарня Pirogi.uz,"ул. Махтумкули, 3/6, Мирабадский район",10:00-21:00
Пенная,"ул. Султанали Машхадий, 186, Яшнабадский район",13:00-23:00
Питер,"просп. Бабура, 17, Яккасарайский район",11:00-23:00
Планета Бистро,"ул. Чиланзарская, 55, Чиланзарский район",12:00-03:00
Поднебесная,"ул. Мукими, 1, Яккасарайский район",10:00-23:00
Подушечная,"ул. Осиё, 17, Мирзо-Улугбекский район",10:30-00:30
Развлекательный комплекс гостиницы «Узбекистан»,"ул. Мусаханова, 45, Мирзо-Улугбекский район",
Рай,"ул. Фаргона Йули, 213, Мирабадский район",
Раковарня,"ул. Шота Руставели, 13А, Яккасарайский район",11:00-01:00
Рандеву,"ул. Байроктол, 36Б, Юнусабадский район",12:00-03:00
Распутин,"ул. Таллимаржон, 135",12:00-02:00
Рыбin Паб,"Карасу-6, ул. Темура Малика, Мирзо-Улугбекский район",11:00-23:00
Семь Пятниц,"просп. Амира Темура, 60, Юнусабадский район",18:00-01:00
Скандалистъ,"ул. Истикбол, 8, Мирабадский район",11:00-01:00
Слон Кофешоп,"Мирзо Улугбек, 51, Мирзо-Улугбекский район",10:00-23:00
Стейк-хаус «Мясной»,"ул. Шота Руставели, 13а, Мирабадский район",
Сундук,"ул. Садыка Азимова, 63, Мирабадский район",10:00-23:00
Сыроварня,"ул. Шахрисабз, 31B, Мирзо-Улугбекский район",10:00-00:00
Сытый Узбек,"ул. Султанали Машхадий, 186, Мирзо-Улугбекский район",10:00-23:00
Сюрприз,"ул. 1-й проезд Олмачи, 14, Мирзо-Улугбекский район",10:00-23:00
Тen-Ten Luxury Lounge,"ул. Ниезбек, 10А, Юнусабадский район",11:00-23:00
Таверна «Три желания»,"ул. Пилла, 76, Мирзо-Улугбекский район",11:00-23:00
Тануки,"ул. Тараса Шевченко, 21А, Мирабадский район",11:00-00:00
Тарелка LIFE,"ул. Осиё, 89, Юнусабадский район",11:00-23:00
Тарона,"ул. Кары-Ниязи, 13, Мирзо-Улугбекский район",11:00-00:00
Ташкент,"ул. ​Ахмада Дониша, 4/4, Шайхантахурский район",
Ташкентский Дворик,"ул. Турккургон, 16, Юнусабадский район",11:00-23:00
ТКХ,"ул. Мирабад, 64А, Мирабадский район",12:00-00:00
Торты от Гаянэ,"Чиланзар-6, ул. Катартал, Чиланзарский район",
Торты от Жанны,"ул. Шота Руставели, 1-й тупик, 1, Яккасарайский район",
Трактиръ «Три медведя»,"ул. Талимарджан, 135, Мирабадский район",
Трюм,"пересечение просп. Бунёдкор и ул. Мукими, 13А, Чиланзарский район",12:00-11:00
Трюфель — ресторан Эжена Трюффо,"ул. Бинокор, 1, Мирзо-Улугбекский район",12:00-23:00
Тюбетейка,"ул. Бодомзор йули, 33, Юнусабадский район",08:00-22:00
У Аркадия,"ул. Султанали Машхадий, 43, Яшнабадский район",10:00-00:00
У Бабушки,"просп. Мирзо Улугбека, 9, Мирзо-Улугбекский район",06:00-22:00
У Влада,"ул. Мавлона Риёзий, 37-39, Яшнабадский район",09:00-23:30
У Лили,"ул. Султанали Машхадий, 96, Яшнабадский район",10:00-00:00
У Мельницы,"просп. Амира Темура, 32, Мирабадский район",10:00-00:00
У фонтана,"ул. Султанали Машхадий, 81, Яшнабадский район",09:00-23:00
Уч кудук,"ул. Маннона Уйгура, 332а, Шайхантахурский район",11:00-23:00
Уютный тупичок,"ул. Ойшахонум, 43, Мирзо-Улугбекский район",
Француз,"ул. Мукими, 21, Чиланзарский район",08:00-22:00
Фрегат,"ул. Шота Руставели, 98А, Яккасарайский район",12:00-00:00
Хан Кук Кван,"ул. Юсуфа Хос Ходжиба, 1, Яккасарайский район",12:00-22:00
Хачапури House,"ул. Буюк турон, 77, Мирабадский район",11:00-23:00
Хорошая Девочка,"ул. Мирабад, 64А, Мирабадский район",09:00-00:00
Центр Плова,"ул. Ифтихор, 1, Юнусабадский район",09:00-18:00
ЧайКоф,"ул. Саида Барака, 16Б, Мирабадский район",08:00-23:00
Чайкоф,"ул. Шота Руставели, 22, Яккасарайский район",08:00-23:00
Чайкоф Новомосковская,"ул. Кори Ниезий, 61, Мирзо-Улугбекский район",08:00-23:00
Чайхана by Семь Пятниц,"ул. Новза, 2А, Чиланзарский район",11:00-01:00
Чайхана Navvat Lounge Bar,"ул. Матбуотчилар, Юнусабадский район",11:00-05:00
Чайхана Zoda,"Тузель-3, 16, Яшнабадский район",09:00-23:00
Чайхона 910,"ул. Абдулла Кодирий, 1А, Шайхантахурский район",21:00-05:00
Чалагач,"ул. Богибостон, 3, Яккасарайский район",
Черная кошка,"ул. 1-й проезд Хушнаво, 9А, Юнусабадский район",11:00-22:00
Честный бар,"ул. Братислава, 2, Яккасарайский район",12:00-06:00
Чешский зал,"ул. Матбуотчилар, 17, ТРК «Заравшан», 2-й этаж, Юнусабадский район",12:00-00:00
Чистые Пруды,"Национальный парк им А.Навои, Чиланзарский район",19:00-23:00
Шеф Burger,"Ц-1, ул. Узбекистон овози, 21, Мирзо-Улугбекский район",11:00-23:00
Шеф Burger,"ул. Шота Руставели, 13А, Яккасарайский район",11:00-23:00
Шеф Burger,"просп. Амира Темура, Юнусабадский район",11:00-23:00
Шеф Burger,"Сергели-8, 21А, Сергелийский район",10:00-01:00
Шик,"ул. Фаргона Йули, 794, Мирабадский район",
Шишка Party Bar,"ул. Кичик Миробод, 26, Яккасарайский район",17:00-05:00
Шоколадница,"ул. Фаргона Йули, 17, Бектемирский район",
Шош,"ул. Паркент, 300А, Яшнабадский район",09:00-00:00
Я люблю кукси. Весна,"ул. Банокатий, Мирабадский район",09:00-23:00
Япоша,"ул. Васита Вахидова, 56, Яккасарайский район",
